EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;MODULMONTAGE (inkl. Qualitätsmodul und Material);;
Beschreibung_fett;Materialien:;;
;- Photovoltaik-Modul (Trina, Jinko oder vergleichbar);;
;     - Leistung 460 Wp / plussortiert;;
;     - Glas-Glas-Modul;;
;     - Elegantes, schwarzes Design als FULL BLACK;;
;     - 30 Jahre Leistungsgarantie;;
;     - 25 Jahre Produktgarantie;;
;- Unterkonstruktion für das Modul;;
;- Notwendiges Kleinmaterial und Leitungen;;
Beschreibung_fett;Leistungen:;;
;- Modulmontage;;
;- Unterkonstruktionsmontage;;
;- Stringverdrahtung und Erdungsanschluss;;
;- Restmaterial- / Verpackungsmüllentsorgung;;
Beschreibung_fett;Nicht enthalten:;;
;- Einrüstung;;
;;;
;Schrägdachmontage;€/Stk.;325,53
;;;
;Schrägdachmontage mit Trapezblech-Befestigung;€/Stk.;254,24
;;;
;Schrägdachmontage mit Stockschrauben-Befestigung;€/Stk.;999999,99
