EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;MODULMONTAGE (inkl. Qualitätsmodul und Material);;
Zwischentitel;Materialien:;;
;- Photovoltaik-Modul (Trina, Jinko oder vergleichbar);;
;     - Leistung 455 Wp / plussortiert;;
;     - Glas-Glas-Modul;;
;     - Elegantes, schwarzes Design als FULL BLACK;;
;     - 30 Jahre Leistungsgarantie;;
;     - 25 Jahre Produktgarantie;;
;- Unterkonstruktion für das Modul;;
;- Notwendiges Kleinmaterial und Leitungen;;
Zwischentitel;Leistungen:;;
;- Modulmontage;;
;- Unterkonstruktionsmontage;;
;- Stringverdrahtung und Erdungsanschluss;;
;- Restmaterial- / Verpackungsmüllentsorgung;;
Zwischentitel;Nicht enthalten:;;
;- Einrüstung;;
;;;
100BJY027;Flachdachmontage Ost/West-Ausrichtung;€/Stk.;347,4
;;;
100BJY028;Flachdachmontage Süd-Ausrichtung;€/Stk.;421,6
