EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;AC-MONTAGE WECHSELRICHTER Fronius;;
Untertitel;Montage und Lieferung Fronius Wechselrichter;;
Beschreibung_fett;Materialien:;;
;- Fronius Wechselrichter GEN24 inkl. Smart Energy Meter;;
;- DC-Überspannungsschutz;;
;- Zuleitung Wechselrichter;;
;- Netzwerkleitung;;
;- Notwendiges Kleinmaterial und Leitungen;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Wechselrichter;;
;- Leitungsverlegung String- und Erdungsleitung bis Wechselrichter (Aufputz) maximal 20 m Kabel im weißen Kunststoff oder weißen Blechkanal;;
;- Anschluss an die Zähleranlage;;
;- Inbetriebnahme;;
;- Restmaterial-/Verpackungsmüllentsorgung;;
;- Anmeldung und Registrierung im Marktstammdatenregister;;
;;;
H66TG2430 01;Wechselrichter 3,0 kW;€/Stk.;3646,4
H66TG2435 01;Wechselrichter 4,0 kW;€/Stk.;3886,8
H66TG2440 01;Wechselrichter 5,0 kW;€/Stk.;3941,2
H66TG2445 01;Wechselrichter 6,0 kW;€/Stk.;4160,6
H66TG2450 01;Wechselrichter 8,0 kW;€/Stk.;4742,1
H66TG2455 01;Wechselrichter 10,0 kW;€/Stk.;4908,8
XXXXXXXXXX;Wechselrichter 15,0 kW;€/Stk.;5228,9
