EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung - Roth;;
Untertitel;als Tackersystem liefern und montieren;;
;- Roth System-Verbundfaltplatte (diverse Wärmeleitgruppen);;
;- Roth Heizrohr PERTEX S5 17 mm;;
;- Tackernadeln für Heizrohr 14-17 mm | Hausmarke;;
;- concept | Roth-Randdämmstreifen 10/160 | selbstklebend | 25 m / Rolle (4 Rollen /Sack);;
;- Klebeband extrem reißfest | 50 mm breit | Rolle = 66 m | Hausmarke;;
;- Klemmverschraubung Universal 17 mm | Roth;;
;- Kupplung PressCheck 17 mm;;
;- Winkelspangen, Kunststoff schwarz, Rohrführung zum Umlenken der Heizrohre im Verteilerbereich, für Rohre 14-18 mm;;
;- Dehnfugenschutzrohr zum Isolieren der Vor-/Rückläufe;;
;- Dehnfugenschutzrohr geschlitzt für Rohr bis 20 mm im Bereich der Dehnfugen | ca. 300 mm lang | Hausmarke;;
;- Estrichmessstellenmarkierung | Hausmarke;;
;- Baustelleneinrichtung, Müllentsorgung, Bauleitung, Heizflächenauslegung und Abdrücken der Fußbodenheizung mit Luft sind im Preis enthalten;;
;- Montageleistung Tacker-Systemrohr (nicht enthalten: Montage der Verteiler, Schränke, Klemmleisten, Stellantriebe, Raumthermostate;;
;;;
100BHW046;Verbundplatte 20-2 mm WLG 035;€/m²;31,9
100BHW047;Verbundplatte 20-2 mm WLG 040;€/m²;31,2
100BHW048;Verbundplatte 30-2 mm WLG 040;€/m²;32,1
100BHW049;Verbundplatte 30-3 mm WLG 045;€/m²;31,8
;;;
Zwischentitel;wir vor, jedoch mit Systemplatte Flipfix;;
100BHW045;2 mm Hohlkammer-Platte;€/m²;30,4
100BHW050;nur Rohr, Dämmung komplett bauseits;€/m²;21,7
;;;
Titel;Mehrpreise für Rohrvarianten;;
Untertitel;Für die Verlegung eines anderen Roth-Heizrohrs;;
100BHW051;X-PERT S5+ 17 mm;€/m²;1,3
100BHW052;DUOPEX S5 17 mm;€/m²;1,8
;;;
Untertitel;Engerer Verlegeabstand des Heizrohres, zum Beispiel für Kühlfunktion;;
100BHW053;Verlegeabstand 100 mm;€/m²;3,5
